postcode,latitude,longitude,population_1hr_drive
LA,54.22121307259196,-2.850562898475045,1046770.0
LD,52.15376104868506,-3.39072153853672,387747.0
LE,52.6467705201259,-1.0260552855029577,4450293.0
LL,53.04923858576463,-3.902285653029173,322353.0
LN,53.279286797463286,-0.2475092934017279,1167356.0
LS,53.86140747929642,-1.4936028164008417,4631616.0
LU,51.89779605891157,-0.5543565880719089,8154633.0
M,53.482343802125065,-2.299411963380763,9416735.0
ME,51.33981331990896,0.6620870949945055,5553545.0
MK,52.076467571389465,-0.6631703348609969,7518047.0
ML,55.62810069521071,-3.7612519596891887,3038430.0
N,51.5989269540176,-0.1191210165375033,11332953.0
NE,55.2073805254754,-1.9901763153529783,1510765.0
NG,53.00761325624489,-0.840948318518244,4336416.0
NN,52.28115782716421,-0.8898929872538455,4371033.0
NP,51.734642704423,-2.9598745957794157,2695045.0
NR,52.67848544946186,1.2602035747904774,1070268.0
NW,51.567481203787935,-0.2173086042509154,12152425.0
OL,53.61779977999303,-2.103147396954772,8269006.0
OX,51.8147119652092,-1.32384179609406,2975213.0
PA,56.127601529112944,-5.606456030972565,22556.0
PE,52.72080953215917,0.0680825574672227,1160531.0
PH,56.81433247487545,-4.4627839781335945,
PL,50.4895355946588,-4.431555117706256,782807.0
PO,50.77807830110875,-1.0822971860391726,2346796.0
PR,53.770850553763495,-2.771834206358429,5445514.0
RG,51.39707181990792,-1.1386273673016474,5611649.0
RH,51.08863612851715,-0.2580180842266172,6454806.0
RM,51.54704599183476,0.251544953407638,10107144.0
S,53.37965500667024,-1.4523263204615695,5160178.0
SA,51.87006220291268,-4.38661640697816,703203.0
SE,51.46262052331488,-0.0096926690784756,10177932.0
SG,51.9812555656465,-0.1234847937681007,6409277.0
SK,53.310008801272105,-1.9989730116683664,4739981.0
SL,51.514386898320986,-0.6614489341395814,10731204.0
SM,51.35532118022698,-0.1870459802893264,8784634.0
SN,51.47157956166091,-1.8805070954782008,2212452.0
SO,50.97511729819029,-1.386821068654127,4002367.0
SP,51.09831767673829,-1.830879146262857,2377065.0
SR,54.86289472974388,-1.370148925536591,2721430.0
SS,51.56377670215216,0.715399280830412,4060208.0
ST,52.93533908481913,-2.1026473192999484,5365827.0
SW,51.45103313477996,-0.1841483314679505,10291465.0
SY,52.589720372214906,-3.2874866392841238,525351.0
TA,51.07851696849963,-3.161740914313362,932155.0
TD,55.58057857008723,-2.588679781426788,426316.0
TF,52.746059968328936,-2.470669915889749,3910279.0
TN,51.07446487601063,0.4954480125896232,3169297.0
TQ,50.44741234207913,-3.7056531884522985,1083565.0
TR,50.17499902462654,-5.321633206512293,427264.0
TS,54.56342731358111,-1.1858301736699524,2377482.0
TW,51.44340357646674,-0.4259401924795254,9976425.0
UB,51.5396322790157,-0.4358593864004531,10285934.0
W,51.50868285531849,-0.2499364610129983,11871696.0
WA,53.36642693471446,-2.5731354764756773,7584619.0
WC,51.51921189608146,-0.1216284376943139,11753790.0
WD,51.66887880602729,-0.4045550558952865,12430162.0
WF,53.67431113714893,-1.4401892932337526,5943483.0
WN,53.5427516644943,-2.6629283949052183,7327930.0
WR,52.169417592501766,-2.207136162402011,5295759.0
WS,52.69293053984482,-1.909244648282448,7018340.0
WV,52.553679548299584,-2.315278341412937,4562367.0
YO,54.12788392767354,-0.8086289531465384,1737353.0
ZE,60.36998527619135,-1.238435702436496,18297.0
